iter	RMSE
0	2.685179919
1	2.675704993
2	2.666292295
3	2.656895049
4	2.647599831
5	2.638321514
6	2.629142778
7	2.619979806
8	2.610915503
9	2.601910657
10	2.592965298
11	2.584079062
12	2.575195996
13	2.566422455
14	2.557706315
15	2.549047649
16	2.540446581
17	2.531902394
18	2.523414671
19	2.514982933
20	2.506607881
21	2.498288092
22	2.490024047
23	2.481725947
24	2.473482987
25	2.465294418
26	2.457160415
27	2.448860689
28	2.440635026
29	2.432443365
30	2.42431547
31	2.416241285
32	2.408222875
33	2.400257611
34	2.392327992
35	2.384459887
36	2.376634554
37	2.36887329
38	2.361157674
39	2.35348585
40	2.345874032
41	2.338303988
42	2.330792565
43	2.323326583
44	2.315914272
45	2.308541271
46	2.301226528
47	2.293978115
48	2.286761984
49	2.279580557
50	2.272449219
51	2.265366945
52	2.258332515
53	2.251345723
54	2.24440785
55	2.237517332
56	2.230674288
57	2.223873436
58	2.217120512
59	2.210415652
60	2.203752204
61	2.19713588
62	2.190565075
63	2.184042848
64	2.177563064
65	2.171259833
66	2.1648896
67	2.158669392
68	2.152493563
69	2.14621179
70	2.140003961
71	2.133816123
72	2.127797768
73	2.12168305
74	2.115612529
75	2.109591627
76	2.10381139
77	2.097868356
78	2.091967839
79	2.086109877
80	2.08040152
81	2.074797205
82	2.069042466
83	2.063349127
84	2.057726563
85	2.052212088
86	2.046708443
87	2.041244743
88	2.035821442
89	2.030413456
90	2.025060681
91	2.019351691
92	2.014066159
93	2.008888164
94	2.003631528
95	1.998404881
96	1.993237345
97	1.98819312
98	1.983123782
99	1.977673581
100	1.972509644
101	1.967119265
102	1.961765896
103	1.956790984
104	1.95191553
105	1.947030656
106	1.942162033
107	1.936962249
108	1.932154131
109	1.9274139
110	1.922672831
111	1.917958234
112	1.91328643
113	1.908265282
114	1.903275945
115	1.898726903
116	1.894181847
117	1.889238179
118	1.884332232
119	1.87986274
120	1.875446444
121	1.871064168
122	1.86670659
123	1.862068867
124	1.85737816
125	1.85306374
126	1.848826772
127	1.844222
128	1.839843852
129	1.835247766
130	1.831118811
131	1.826584476
132	1.821914611
133	1.817514407
134	1.813488211
135	1.809475648
136	1.804929269
137	1.800568175
138	1.796067877
139	1.791869598
140	1.787628574
141	1.783478967
142	1.779365196
143	1.775554122
144	1.771213109
145	1.767497401
146	1.763500718
147	1.759498012
148	1.755448126
149	1.751446376
150	1.747533098
151	1.743523636
152	1.739638926
153	1.735776385
154	1.731847472
155	1.727812052
156	1.723961733
157	1.720457277
158	1.71699981
159	1.713009234
160	1.709256171
161	1.705848908
162	1.702211056
163	1.698891835
164	1.695268021
165	1.691672931
166	1.688306135
167	1.684755797
168	1.681202259
169	1.677534074
170	1.674340805
171	1.671186155
172	1.667687101
173	1.664260391
174	1.661003641
