iter	Passed	Remaining
0	6395	63950196
1	9861	49296773
2	13587	45279492
3	14900	37237417
4	15926	31837352
5	16839	28049380
6	17771	25370244
7	18654	23299715
8	19544	21696428
9	20444	20424290
10	21324	19364991
11	22203	18480909
12	23111	17755250
13	24008	17125023
14	24923	16590708
15	25824	16114294
16	26708	15684018
17	27601	15306409
18	28485	14963765
19	29370	14655693
20	30257	14377910
21	31138	14122627
22	32023	13891405
23	32908	13678838
24	33773	13475811
25	34664	13297847
26	35540	13127562
27	36571	13024634
28	37762	12983852
29	38668	12850958
30	39597	12733726
31	40680	12672042
32	41879	12648900
33	43320	12698042
34	45064	12830499
35	46292	12812871
36	49140	13232189
37	50449	13225727
38	51640	13189431
39	52582	13093020
40	53610	13022057
41	54634	12953665
42	56035	12975547
43	57406	12989575
44	58352	12908904
45	59267	12824977
46	60200	12748500
47	61146	12677649
48	62055	12602402
49	63035	12543984
50	65089	12697464
51	66639	12748667
52	67661	12698746
53	68569	12629561
54	69456	12559022
55	70366	12495027
56	71250	12428895
57	72142	12366250
58	73032	12305388
59	73919	12246079
60	74793	12186362
61	75680	12130911
62	76580	12078990
63	77470	12027231
64	78352	11975804
65	79257	11929381
66	80132	11880003
67	81055	11838889
68	81979	11799050
69	82877	11756718
70	83776	11715690
71	84665	11674444
72	85607	11641422
73	86496	11602175
74	87375	11562716
75	88252	11523948
76	89437	11525824
77	90338	11491536
78	91228	11456684
79	92108	11421404
80	93025	11391660
81	94306	11406474
82	95196	11374203
83	96083	11342397
84	96998	11314539
85	97928	11289111
86	98860	11264443
87	99769	11237723
88	100679	11211616
89	101601	11187445
90	102815	11195548
91	104217	11223718
92	105127	11198883
93	106044	11175304
94	106960	11152055
95	107871	11128758
96	108771	11104752
97	109668	11080987
98	110583	11059437
99	112023	11090350
100	112960	11071253
101	114422	11103497
102	115374	11086059
103	116284	11064872
104	117191	11043888
105	118086	11022132
106	118997	11002256
107	120375	11025484
108	121278	11005229
109	122184	10985452
110	123086	10965764
111	124001	10947564
112	124909	10929012
113	125857	10914304
114	126804	10899689
115	127707	10881598
116	128614	10864117
117	129543	10848755
118	130471	10833542
119	131370	10816180
120	132634	10828891
121	133550	10813222
122	134469	10798005
123	135694	10807405
124	136627	10793607
125	137536	10778096
126	138437	10762132
127	139378	10749587
128	140275	10733788
129	141450	10739382
130	142359	10724813
131	143293	10712299
132	144231	10700216
133	145169	10688385
134	146285	10689662
135	147451	10694538
136	149100	10734150
137	150868	10781646
138	152042	10786275
139	152928	10770536
140	153879	10759529
141	154852	10750269
142	155900	10746232
143	156800	10732153
144	157714	10719180
145	158613	10705344
146	159496	10690596
147	160376	10675865
148	161589	10683366
149	163004	10703937
150	163922	10691875
151	164876	10682274
152	165775	10669210
153	167063	10681209
154	168011	10671447
155	169226	10678655
156	170183	10669499
157	171084	10657065
158	172261	10661775
159	173492	10669811
160	175738	10739724
161	177039	10751349
162	177941	10738736
163	178874	10728101
164	179774	10715644
165	180679	10703623
166	181555	10690008
167	182459	10678232
168	183396	10668465
169	184810	10686401
170	185703	10674175
171	186911	10680036
172	188338	10698285
173	190019	10730614
174	191326	10741643
175	192359	10737156
176	193245	10724600
177	194136	10712422
178	194964	10696927
179	195784	10681147
180	196683	10669829
181	197898	10675639
182	199131	10682354
183	200055	10672507
184	200956	10661544
185	202073	10662090
186	203264	10666505
187	204181	10656523
188	205029	10643107
189	206534	10663702
190	207465	10654607
191	208701	10661193
192	209587	10649865
193	210450	10637537
194	211858	10652690
195	212722	10640469
196	214119	10654903
197	215597	10673170
198	216594	10667541
199	218280	10695745
200	219531	10702410
201	220437	10692326
202	221320	10681154
203	222458	10682347
204	223635	10685416
205	224823	10688922
206	225670	10676280
207	226868	10680290
208	227742	10669043
209	228594	10656872
210	229468	10645792
211	231044	10667282
212	231871	10654112
213	232693	10640845
214	234165	10657238
215	235023	10645687
216	236246	10650710
217	237185	10642878
218	238033	10631076
219	238906	10620491
220	240121	10625104
221	241681	10644892
222	242512	10632492
223	243362	10621021
224	244542	10623992
225	245367	10611589
226	246802	10625560
227	247743	10618183
228	249415	10642102
229	250478	10639896
230	251718	10645169
231	252962	10650609
232	253895	10642895
233	254733	10631321
234	255991	10637250
235	256858	10626979
236	257802	10619949
237	258730	10612302
238	259910	10615014
239	261146	10619953
240	262587	10633154
241	263610	10629373
242	265686	10667919
243	266805	10667857
244	267970	10669603
245	269399	10681799
246	270272	10671926
247	271150	10662330
248	272020	10652502
249	273263	10657288
250	274136	10647622
251	275080	10640798
252	275958	10631500
253	276892	10624369
254	277841	10617887
255	278780	10611067
256	279708	10603903
257	280578	10594557
258	281856	10600634
259	283111	10605791
260	284044	10598875
261	284930	10590286
262	285987	10588059
263	287047	10585971
264	287997	10579827
265	288861	10570602
266	289788	10563721
267	290714	10556848
268	291652	10550433
269	293018	10559503
270	293967	10553527
271	294852	10545307
272	296328	10558199
273	297736	10568562
274	299040	10575160
275	300874	10600358
276	301976	10599717
277	303012	10596713
278	303877	10587784
279	304744	10578981
280	306014	10584197
281	306958	10578082
